Model,MAE,RMSE,MAPE (%)
Random Forest,7677.911679338842,9539.447372112943,1348.9895397202713
Gradient Boosting,8250.225504271468,10456.03505843868,1427.8009909726193
XGBoost,8068.589723334194,10077.16552759297,1542.3138528281377
LightGBM,7463.776770947385,9159.160887942962,1427.8009909726193
