date,revenue,order_count,items_sold,unique_customers,revenue_lag_1,orders_lag_1,revenue_lag_7,orders_lag_7,revenue_lag_14,orders_lag_14,revenue_lag_30,orders_lag_30,revenue_rolling_mean_7,revenue_rolling_std_7,revenue_rolling_min_7,revenue_rolling_max_7,revenue_rolling_mean_14,revenue_rolling_std_14,revenue_rolling_min_14,revenue_rolling_max_14,revenue_rolling_mean_30,revenue_rolling_std_30,revenue_rolling_min_30,revenue_rolling_max_30,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_month_start,is_month_end,is_holiday_season,revenue_growth_1d,revenue_growth_7d,revenue_growth_30d,cumulative_revenue,cumulative_orders
2017-01-30,12187.9,53,75.0,51,7160.66,35.0,7553.889999999999,39.0,3712.2400000000002,19.0,9716.13,42.0,9421.347142857141,3518.6164560601273,5909.98,15191.96,6746.562142857142,3683.399518413512,3094.76,15191.96,4396.778666666666,3747.686705089102,19.62,15191.96,0,30,5,1,1,2017,0,0,0,0,0.7020637762440891,0.6134600848039884,0.25439861343971315,184828.65,1059
2017-01-31,13021.73,70,85.0,68,12187.9,53.0,6794.5,40.0,3893.61,32.0,4152.11,26.0,10083.348571428573,3544.5419986246843,5909.98,15191.96,7351.966428571429,3839.5358501528967,3094.76,15191.96,4479.171,3893.017319602695,19.62,15191.96,1,31,5,1,1,2017,0,0,1,0,0.06841457511138094,0.9165104128339097,2.136171729554371,197850.38,1129
2017-02-01,10310.99,73,70.0,71,13021.73,70.0,10434.31,63.0,4683.38,33.0,4675.1,39.0,10972.952857142856,3358.0862078953737,5909.98,15191.96,8003.974999999999,3979.5712889296333,3094.76,15191.96,4774.825,4192.595848061733,19.62,15191.96,2,1,5,2,1,2017,0,1,0,0,-0.20817049654692577,-0.011818701955376043,1.2055121815576135,208161.37,1202
2017-02-02,10676.54,69,75.0,69,10310.99,73.0,15191.96,86.0,4140.16,29.0,61.99,1.0,10955.335714285715,3361.704528672207,5909.98,15191.96,8405.947142857143,3901.820718716658,3094.76,15191.96,4962.687999999999,4312.525226468466,19.62,15191.96,3,2,5,2,1,2017,0,0,0,0,0.03545246382743095,-0.2972243212857326,171.23003710275853,218837.91,1271
2017-02-03,11639.19,60,62.0,60,10676.54,69.0,12904.13,62.0,4698.07,29.0,19.62,1.0,10310.275714285714,2799.4752161602046,5909.98,13021.73,8872.831428571428,3739.8229374003095,3094.76,15191.96,5316.506333333334,4331.974075922592,19.62,15191.96,4,3,5,2,1,2017,0,0,0,0,0.09016497854173733,-0.09802598082939329,592.230886850153,230477.1,1331
2017-02-04,15747.17,67,72.0,67,11639.19,60.0,5909.98,29.0,3094.76,24.0,707.27,32.0,10129.569999999998,2640.445674262836,5909.98,13021.73,9368.625714285716,3601.3279812200753,3094.76,15191.96,5703.825333333333,4361.401333355056,707.27,15191.96,5,4,5,2,1,2017,1,0,0,0,0.352943804508733,1.6645047868182297,21.264722100470824,246224.27000000002,1398
2017-02-05,10153.24,75,83.0,74,15747.17,67.0,7160.66,35.0,4280.22,31.0,988.28,4.0,11534.882857142857,2638.177418823546,7160.66,15747.17,10272.369285714287,3491.6848916278955,4280.22,15747.17,6205.155333333333,4623.762014944803,774.51,15747.17,6,5,5,2,1,2017,1,0,0,0,-0.3552339880753177,0.41791957724567297,9.273647144533937,256377.51,1473
2017-02-06,11626.0,85,88.0,83,10153.24,75.0,12187.9,53.0,7553.889999999999,39.0,1447.99,4.0,11962.394285714285,1968.740282048878,10153.24,15747.17,10691.870714285715,3039.9749798551934,5909.98,15747.17,6510.654,4569.644146660392,774.51,15747.17,0,6,6,2,1,2017,0,0,0,0,0.14505320469131044,-0.046103102257156636,7.029060974177998,268003.51,1558
2017-02-07,16627.21,112,127.0,108,11626.0,85.0,13021.73,70.0,6794.5,40.0,809.63,6.0,11882.122857142856,1969.4683530309562,10153.24,15747.17,10982.735714285713,2908.6087435529216,5909.98,15747.17,6849.921,4558.625459009168,774.51,15747.17,1,7,6,2,1,2017,0,0,0,0,0.43017460863581625,0.27688179681194436,19.53680076084137,284630.72000000003,1670
2017-02-08,14299.97,95,99.0,95,16627.21,112.0,10310.99,73.0,10434.31,63.0,774.51,5.0,12397.191428571428,2665.6116146795043,10153.24,16627.21,11685.072142857141,3005.0337747882486,5909.98,16627.21,7377.173666666667,4746.764123861922,774.51,16627.21,2,8,6,2,1,2017,0,0,0,0,-0.13996575492821706,0.38686682850046394,17.46324773082336,298930.69,1765
2017-02-09,10844.17,77,82.0,76,14299.97,95.0,10676.54,69.0,15191.96,86.0,1571.17,6.0,12967.045714285714,2569.957983592058,10153.24,16627.21,11961.190714285713,3058.3915856779336,5909.98,16627.21,7828.022333333333,4740.337998099439,1507.36,16627.21,3,9,6,2,1,2017,0,0,0,0,-0.24166484265351607,0.015700779466006676,5.901971142524361,309774.86,1842
2017-02-10,15674.09,66,74.0,66,10844.17,77.0,11639.19,60.0,12904.13,62.0,3062.33,12.0,12990.992857142859,2545.7243512781315,10153.24,16627.21,11650.634285714286,2922.8344929529594,5909.98,16627.21,8137.122333333333,4619.060910216964,1507.36,16627.21,4,10,6,2,1,2017,0,0,0,0,0.44539323894774796,0.3466650170673389,4.118354324974774,325448.95,1908
2017-02-11,5648.37,49,51.0,49,15674.09,66.0,15747.17,67.0,5909.98,29.0,2502.69,13.0,13567.407142857144,2643.550016806402,10153.24,16627.21,11848.488571428572,3102.4481037421347,5909.98,16627.21,8557.514333333333,4714.19890605091,1507.36,16627.21,5,11,6,2,1,2017,1,0,0,0,-0.6396364956434473,-0.6413088828024337,1.256919554559294,331097.32,1957
2017-02-12,16682.29,64,66.0,64,5648.37,49.0,10153.24,75.0,7160.66,35.0,2903.9700000000003,12.0,12124.721428571427,3770.9532131210017,5648.37,16627.21,11829.802142857143,3141.5098374414156,5648.37,16627.21,8662.370333333334,4608.6831392832455,1507.36,16627.21,6,12,6,2,1,2017,1,0,0,0,1.9534697620729524,0.6430508881893859,4.744649565939042,347779.61,2021
2017-02-13,13092.09,78,88.0,78,16682.29,64.0,11626.0,85.0,12187.9,53.0,1507.36,18.0,13057.442857142858,4002.4041989397406,5648.37,16682.29,12509.918571428572,3083.0557497313653,5648.37,16682.29,9121.647666666666,4700.662884524855,1507.36,16682.29,0,13,7,2,1,2017,0,0,0,0,-0.21521026190049453,0.1261044211250646,7.685443424264941,360871.7,2099
2017-02-14,15309.08,76,80.0,75,13092.09,78.0,16627.21,112.0,13021.73,70.0,2551.34,14.0,13266.884285714286,3953.069440687227,5648.37,16682.29,12574.503571428573,3085.26094555439,5648.37,16682.29,9507.805333333334,4526.1851883211175,2551.34,16682.29,1,14,7,2,1,2017,0,0,0,0,0.16933812706756513,-0.07927547676369029,5.000407628932247,376180.78,2175
2017-02-15,8326.4,62,63.0,62,15309.08,76.0,14299.97,95.0,10310.99,73.0,3712.2400000000002,19.0,13078.580000000002,3794.5380245514284,5648.37,16682.29,12737.885714285714,3170.161861300104,5648.37,16682.29,9933.063333333332,4448.716456647206,3094.76,16682.29,2,15,7,2,1,2017,0,0,0,0,-0.45611362668429456,-0.41773304419519763,1.2429584294118912,384507.18000000005,2237
2017-02-16,7803.719999999999,55,57.0,55,8326.4,62.0,10844.17,77.0,10676.54,69.0,3893.61,32.0,12225.212857142858,4130.877343764132,5648.37,16682.29,12596.129285714285,3327.4972803282258,5648.37,16682.29,10086.868666666667,4303.624402527786,3094.76,16682.29,3,16,7,2,1,2017,0,0,0,0,-0.06277382782475027,-0.2803764603468961,1.0042377125598092,392310.9,2292
2017-02-17,8093.57,46,56.0,46,7803.719999999999,55.0,15674.09,66.0,11639.19,60.0,4683.38,33.0,11790.862857142858,4447.969312512974,5648.37,16682.29,12390.927857142857,3536.9690732389618,5648.37,16682.29,10217.205666666667,4166.620187657834,3094.76,16682.29,4,17,7,2,1,2017,0,0,0,0,0.03714254227471003,-0.4836338186140312,0.7281471928393595,400404.47000000003,2338
2017-02-18,9308.3,54,63.0,52,8093.57,46.0,5648.37,49.0,15747.17,67.0,4140.16,29.0,10707.931428571426,4263.955989959828,5648.37,16682.29,12137.669285714286,3717.2794954632805,5648.37,16682.29,10330.878666666666,4055.477119196851,3094.76,16682.29,5,18,7,2,1,2017,1,0,0,0,0.15008580885814293,0.6479621554536972,1.2482947518936465,409712.77,2392
2017-02-19,4477.65,40,44.0,39,9308.3,54.0,16682.29,64.0,10153.24,75.0,4698.07,29.0,11230.778571428571,3731.2675783770355,7803.719999999999,16682.29,11677.75,3633.7270935310376,5648.37,16682.29,10503.15,3889.820013638606,3094.76,16682.29,6,19,7,2,1,2017,1,0,0,0,-0.5189615719304277,-0.7315926050919868,-0.046917138314243934,414190.42000000004,2432
2017-02-20,9157.3,63,72.0,63,4477.65,40.0,13092.09,78.0,11626.0,85.0,3094.76,24.0,9487.25857142857,3608.8059235312585,4477.65,15309.08,11272.350714285714,4103.1701891182465,4477.65,16682.29,10495.802666666665,3901.3541829374676,3094.76,16682.29,0,20,8,2,1,2017,0,0,0,0,1.0451129498732592,-0.3005471242559439,1.9589693546510873,423347.72000000003,2495
2017-02-21,9333.46,41,47.0,41,9157.3,63.0,15309.08,76.0,16627.21,112.0,4280.22,31.0,8925.145714285714,3241.4798097877956,4477.65,15309.08,11096.015,4139.687135522626,4477.65,16682.29,10697.887333333334,3653.9415648498634,4280.22,16682.29,1,21,8,2,1,2017,0,0,0,0,0.019237111375623783,-0.3903317508302263,1.1806028662078116,432681.18000000005,2536
